Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-01-08T13:00:00Z,SOLUSD,0,53890.15550758,Market,Invalid,0,"" 
2023-01-08T14:00:00Z,SOLUSD,0,71908.35176709,Market,Invalid,0,"" 
2023-01-08T15:00:00Z,SOLUSD,0,72409.23888768,Market,Invalid,0,"" 
2023-01-08T16:00:00Z,SOLUSD,0,70917.35147089,Market,Invalid,0,"" 
2023-01-08T17:00:00Z,SOLUSD,0,70939.5426964,Market,Invalid,0,"" 
2023-01-08T18:00:00Z,SOLUSD,0,68512.07515413,Market,Invalid,0,"" 
2023-01-08T19:00:00Z,SOLUSD,0,67259.24766929,Market,Invalid,0,"" 
2023-01-08T20:00:00Z,SOLUSD,0,67080.88378201,Market,Invalid,0,"" 
2023-01-08T21:00:00Z,SOLUSD,0,56380.99919365,Market,Invalid,0,"" 
2023-01-08T22:00:00Z,SOLUSD,0,52774.23718264,Market,Invalid,0,"" 
2023-01-09T01:00:00Z,BTCUSD,0,15.18462087,Market,Invalid,0,"" 
2023-01-09T02:00:00Z,BTCUSD,0,22.12097519,Market,Invalid,0,"" 
2023-01-09T03:00:00Z,BTCUSD,0,22.8371139,Market,Invalid,0,"" 
2023-01-09T04:00:00Z,BTCUSD,0,22.74908274,Market,Invalid,0,"" 
2023-01-09T05:00:00Z,BTCUSD,0,22.90661967,Market,Invalid,0,"" 
2023-01-09T06:00:00Z,BTCUSD,0,22.77206161,Market,Invalid,0,"" 
2023-01-09T07:00:00Z,BTCUSD,0,22.69782378,Market,Invalid,0,"" 
2023-01-09T08:00:00Z,BTCUSD,0,23.06849008,Market,Invalid,0,"" 
2023-01-09T09:00:00Z,BTCUSD,0,22.81888693,Market,Invalid,0,"" 
2023-01-09T10:00:00Z,BTCUSD,0,23.02067381,Market,Invalid,0,"" 
2023-01-09T11:00:00Z,BTCUSD,0,23.07182063,Market,Invalid,0,"" 
2023-01-09T12:00:00Z,BTCUSD,0,23.05450494,Market,Invalid,0,"" 
2023-01-09T13:00:00Z,BTCUSD,0,23.03976779,Market,Invalid,0,"" 
2023-01-09T14:00:00Z,BTCUSD,0,23.09917545,Market,Invalid,0,"" 
2023-01-09T15:00:00Z,BTCUSD,0,23.15797828,Market,Invalid,0,"" 
2023-01-09T16:00:00Z,BTCUSD,0,23.84559998,Market,Invalid,0,"" 
2023-01-09T17:00:00Z,BTCUSD,0,23.44065229,Market,Invalid,0,"" 
2023-01-09T18:00:00Z,BTCUSD,0,23.42910336,Market,Invalid,0,"" 
2023-01-09T19:00:00Z,BTCUSD,0,23.10444148,Market,Invalid,0,"" 
2023-01-09T20:00:00Z,BTCUSD,0,22.94778504,Market,Invalid,0,"" 
2023-01-09T21:00:00Z,BTCUSD,0,21.52552236,Market,Invalid,0,"" 
2023-01-09T22:00:00Z,BTCUSD,0,15.50854729,Market,Invalid,0,"" 
2023-01-09T23:00:00Z,BTCUSD,0,12.54563821,Market,Invalid,0,"" 
2023-01-10T00:00:00Z,BTCUSD,0,9.18926902,Market,Invalid,0,"" 
2023-01-10T01:00:00Z,BTCUSD,0,8.24133295,Market,Invalid,0,"" 
2023-01-10T02:00:00Z,BTCUSD,0,6.56408689,Market,Invalid,0,"" 
2023-01-10T03:00:00Z,BTCUSD,0,5.09613001,Market,Invalid,0,"" 
2023-01-10T04:00:00Z,BTCUSD,0,4.5208725,Market,Invalid,0,"" 
2023-01-10T05:00:00Z,BTCUSD,0,4.22714928,Market,Invalid,0,"" 
2023-01-10T06:00:00Z,BTCUSD,0,4.28364805,Market,Invalid,0,"" 
2023-01-10T07:00:00Z,BTCUSD,0,3.67752442,Market,Invalid,0,"" 
2023-01-10T08:00:00Z,BTCUSD,0,3.41266444,Market,Invalid,0,"" 
2023-01-10T09:00:00Z,BTCUSD,0,5.53570775,Market,Invalid,0,"" 
2023-01-10T10:00:00Z,BTCUSD,0,7.33310397,Market,Invalid,0,"" 
2023-01-10T11:00:00Z,BTCUSD,0,9.3817001,Market,Invalid,0,"" 
2023-01-10T12:00:00Z,BTCUSD,0,10.86810248,Market,Invalid,0,"" 
2023-01-10T13:00:00Z,BTCUSD,0,10.13607989,Market,Invalid,0,"" 
2023-01-10T14:00:00Z,BTCUSD,0,11.34246434,Market,Invalid,0,"" 
2023-01-10T15:00:00Z,BTCUSD,0,14.87976208,Market,Invalid,0,"" 
2023-01-10T16:00:00Z,BTCUSD,0,18.60469695,Market,Invalid,0,"" 
2023-01-10T17:00:00Z,BTCUSD,0,21.13817841,Market,Invalid,0,"" 
2023-01-10T18:00:00Z,BTCUSD,0,17.61828494,Market,Invalid,0,"" 
2023-01-10T19:00:00Z,BTCUSD,0,21.50142473,Market,Invalid,0,"" 
2023-01-10T20:00:00Z,BTCUSD,0,22.928638,Market,Invalid,0,"" 
2023-01-10T21:00:00Z,BTCUSD,0,23.11338352,Market,Invalid,0,"" 
2023-01-10T22:00:00Z,BTCUSD,0,22.90226284,Market,Invalid,0,"" 
2023-01-10T23:00:00Z,BTCUSD,0,23.00417521,Market,Invalid,0,"" 
2023-01-11T00:00:00Z,BTCUSD,0,23.91632325,Market,Invalid,0,"" 
2023-01-11T01:00:00Z,BTCUSD,0,25.57166605,Market,Invalid,0,"" 
2023-01-11T02:00:00Z,BTCUSD,0,29.77110542,Market,Invalid,0,"" 
2023-01-11T03:00:00Z,BTCUSD,0,37.75007653,Market,Invalid,0,"" 
2023-01-11T04:00:00Z,BTCUSD,0,42.12351464,Market,Invalid,0,"" 
2023-01-11T05:00:00Z,BTCUSD,0,45.23348418,Market,Invalid,0,"" 
2023-01-11T06:00:00Z,BTCUSD,0,39.56650022,Market,Invalid,0,"" 
2023-01-01T05:00:00Z,SOLUSD,9.84,55208.20515623,Market,Filled,543248.7387373,"" 
2023-01-01T09:00:00Z,SOLUSD,9.71,-55208.20515623,Market,Filled,-536071.67206699,"Liquidated" 
2023-01-01T12:00:00Z,BTCUSD,16547.61,0.56923799,Market,Filled,9419.5282557039,"" 
2023-01-01T12:00:00Z,ETHUSD,1194.26,4.39947471,Market,Filled,5254.1166671646,"" 
2023-01-01T13:00:00Z,SOLUSD,9.94,670.82166406,Market,Filled,6667.9673407564,"" 
2023-01-01T14:00:00Z,SOLUSD,9.84,-670.82166406,Market,Filled,-6600.8851743504,"Liquidated" 
2023-01-01T15:00:00Z,ETHUSD,1194.17,-4.39947471,Market,Filled,-5253.7207144407,"Liquidated" 
2023-01-01T16:00:00Z,ETHUSD,1194.26,2.99785589,Market,Filled,3580.2193751914,"" 
2023-01-01T18:00:00Z,SOLUSD,9.95,18783.51149842,Market,Filled,186895.93940928,"" 
2023-01-03T17:00:00Z,BTCUSD,16616.59,-0.56923799,Market,Filled,-9458.7942922541,"Liquidated" 
2023-01-03T17:00:00Z,ETHUSD,1207.34,-2.99785589,Market,Filled,-3619.4313302326,"Liquidated" 
2023-01-04T00:00:00Z,ETHUSD,1214.25,12.86515587,Market,Filled,15621.515515147,"" 
2023-01-04T02:00:00Z,BTCUSD,16696.15,0.79207557,Market,Filled,13224.612528056,"" 
2023-01-05T10:00:00Z,SOLUSD,13.04,-18783.51149842,Market,Filled,-244936.9899394,"Liquidated" 
2023-01-05T20:00:00Z,SOLUSD,13.41,20514.74023236,Market,Filled,275102.66651595,"" 
2023-01-06T07:00:00Z,BTCUSD,16780.16,-0.79207557,Market,Filled,-13291.154796691,"Liquidated" 
2023-01-06T07:00:00Z,SOLUSD,13.12,-20514.74023236,Market,Filled,-269153.39184856,"Liquidated" 
2023-01-06T08:00:00Z,ETHUSD,1247.31,-12.86515587,Market,Filled,-16046.83756821,"Liquidated" 
2023-01-06T16:00:00Z,ETHUSD,1262.28,249.84244955,Market,Filled,315371.12721797,"" 
