Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-04-03T19:00:00Z,SOLUSD,0,1602.08667467,Market,Invalid,0,"" 
2023-04-03T20:00:00Z,SOLUSD,0,5526.64767779,Market,Invalid,0,"" 
2023-04-03T21:00:00Z,SOLUSD,0,3402.72063082,Market,Invalid,0,"" 
2023-04-03T22:00:00Z,SOLUSD,0,2135.43045035,Market,Invalid,0,"" 
2023-04-03T23:00:00Z,SOLUSD,0,1881.63309017,Market,Invalid,0,"" 
2023-04-04T00:00:00Z,SOLUSD,0,1755.40818023,Market,Invalid,0,"" 
2023-04-04T07:00:00Z,SOLUSD,0,1645.3129949,Market,Invalid,0,"" 
2023-04-04T08:00:00Z,SOLUSD,0,2146.0911273,Market,Invalid,0,"" 
2023-04-04T09:00:00Z,SOLUSD,0,3088.7594702,Market,Invalid,0,"" 
2023-04-04T10:00:00Z,SOLUSD,0,4064.43844322,Market,Invalid,0,"" 
2023-04-04T11:00:00Z,SOLUSD,0,4968.25296597,Market,Invalid,0,"" 
2023-04-04T12:00:00Z,SOLUSD,0,6970.16277578,Market,Invalid,0,"" 
2023-04-04T13:00:00Z,SOLUSD,0,8080.36048265,Market,Invalid,0,"" 
2023-04-04T14:00:00Z,SOLUSD,0,7749.59442621,Market,Invalid,0,"" 
2023-04-04T15:00:00Z,SOLUSD,0,8688.54000734,Market,Invalid,0,"" 
2023-04-04T16:00:00Z,SOLUSD,0,9440.7736613,Market,Invalid,0,"" 
2023-04-04T17:00:00Z,SOLUSD,0,9704.34795953,Market,Invalid,0,"" 
2023-04-04T18:00:00Z,SOLUSD,0,10721.84488667,Market,Invalid,0,"" 
2023-04-04T19:00:00Z,SOLUSD,0,10461.20356707,Market,Invalid,0,"" 
2023-04-04T20:00:00Z,SOLUSD,0,10330.99593693,Market,Invalid,0,"" 
2023-04-04T21:00:00Z,SOLUSD,0,11139.55522248,Market,Invalid,0,"" 
2023-04-04T22:00:00Z,SOLUSD,0,10368.44587146,Market,Invalid,0,"" 
2023-04-04T23:00:00Z,SOLUSD,0,9457.92052714,Market,Invalid,0,"" 
2023-04-05T00:00:00Z,SOLUSD,0,8185.7559407,Market,Invalid,0,"" 
2023-04-05T01:00:00Z,SOLUSD,0,11408.36490758,Market,Invalid,0,"" 
2023-04-05T02:00:00Z,SOLUSD,0,12293.50570535,Market,Invalid,0,"" 
2023-04-05T03:00:00Z,SOLUSD,0,11697.27859539,Market,Invalid,0,"" 
