Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2023-12-29T21:00:00Z,COIN,0,-630,Market On Open,Submitted,0,"Liquidated" 
2023-01-03T15:00:00Z,MSFT,236.44569925,145,Market,Filled,34284.62639125,"" 
2023-01-03T15:00:00Z,AMZN,85.47,553,Market,Filled,47264.91,"" 
2023-01-03T15:00:00Z,NVDA,14.5295739024,1104,Market,Filled,16040.64958825,"" 
2023-01-03T15:00:00Z,GOOGL,89.006198336,457,Market,Filled,40675.832639552,"" 
2023-01-03T15:00:00Z,GOOG,89.498003727,455,Market,Filled,40721.591695785,"" 
2023-01-03T15:00:00Z,META,122.169772676,972,Market,Filled,118749.01904107,"" 
2023-01-03T15:00:00Z,BRK.B,309.82,96,Market,Filled,29742.72,"" 
2023-01-03T15:00:00Z,JPM,125.822355876,580,Market,Filled,72976.96640808,"" 
2023-01-03T15:00:00Z,V,205.476898741,174,Market,Filled,35752.980380934,"" 
2023-01-03T15:00:00Z,XOM,100.034765307,276,Market,Filled,27609.595224732,"" 
2023-01-03T15:00:00Z,MA,344.2908633915,76,Market,Filled,26166.105617754,"" 
2023-01-03T15:00:00Z,ADBE,341.35,99,Market,Filled,33793.65,"" 
2023-01-03T15:00:00Z,NFLX,291.5,253,Market,Filled,73749.5,"" 
2023-01-03T15:00:00Z,BAC,31.158928345,1906,Market,Filled,59388.91742557,"" 
2023-01-03T15:00:00Z,DIS,86.7390040995,385,Market,Filled,33394.516578307,"" 
2023-01-03T15:00:00Z,AMD,65.01,876,Market,Filled,56948.76,"" 
2023-01-03T15:00:00Z,PLTR,6.38,15031,Market,Filled,95897.78,"" 
2023-01-03T15:00:00Z,COIN,34.65,2833,Market,Filled,98163.45,"" 
2023-01-03T15:00:00Z,SMCI,8.386,6505,Market,Filled,54550.93,"" 
2023-01-03T16:00:00Z,NVDA,14.3237640816,-1104,Market,Filled,-15813.435546086,"Liquidated" 
2023-01-03T16:00:00Z,CMCSA,32.6866564045,579,Market,Filled,18925.574058206,"" 
2023-01-03T17:00:00Z,XOM,98.3404281915,-276,Market,Filled,-27141.958180854,"Liquidated" 
2023-01-03T17:00:00Z,ADBE,332.87,-99,Market,Filled,-32954.13,"Liquidated" 
2023-01-03T18:00:00Z,MSFT,233.417234128,-145,Market,Filled,-33845.49894856,"Liquidated" 
2023-01-03T19:00:00Z,COIN,33.77,-2833,Market,Filled,-95670.41,"Liquidated" 
2023-01-03T20:00:00Z,MA,340.488202363,-76,Market,Filled,-25877.103379588,"Liquidated" 
2023-01-04T15:00:00Z,V,207.478775017,144,Market,Filled,29876.943602448,"" 
2023-01-04T15:00:00Z,HD,299.623934624,18,Market,Filled,5393.230823232,"" 
2023-01-04T15:00:00Z,MA,348.369008272,87,Market,Filled,30308.103719664,"" 
2023-01-04T15:00:00Z,ADBE,343.34,112,Market,Filled,38454.08,"" 
2023-01-04T15:00:00Z,AMD,64.86,155,Market,Filled,10053.3,"" 
2023-01-04T15:00:00Z,COIN,35.49,124,Market,Filled,4400.76,"" 
2023-01-04T17:00:00Z,NVDA,14.6554575792,749,Market,Filled,10976.937726821,"" 
2023-01-04T17:00:00Z,PG,143.85858225,39,Market,Filled,5610.48470775,"" 
2023-01-04T17:00:00Z,COST,441.366420114,10,Market,Filled,4413.66420114,"" 
2023-01-04T18:00:00Z,COIN,37.67,-124,Market,Filled,-4671.08,"Liquidated" 
2023-01-04T20:00:00Z,GOOGL,87.584723424,-457,Market,Filled,-40026.218604768,"Liquidated" 
2023-01-04T20:00:00Z,TSLA,113.61,32,Market,Filled,3635.52,"" 
2023-01-05T15:00:00Z,TSLA,108.64,-32,Market,Filled,-3476.48,"Liquidated" 
2023-01-05T15:00:00Z,PG,142.41106695,-39,Market,Filled,-5554.03161105,"Liquidated" 
